subject,acc,RT,Code,seq,actionseq,timeseq,trial
28329,1,0.391166500048712,1,1,1,130,39
28329,1,0.493752099806443,3,3,3,131,39
28329,1,0.585019499994814,3,2,3,132,39
28329,1,0.463407100178301,3,2,3,133,39
28329,1,0.394293300108984,1,1,1,134,39
28329,1,0.377462799893692,1,1,1,135,39
28329,1,0.456707700155675,3,3,3,136,39
28329,1,0.428603400010616,3,2,3,137,39
28329,1,0.497927399817854,3,3,3,138,39
28329,1,0.580015099840239,3,3,3,139,39
28329,1,0.458050600020215,1,1,1,140,39
28329,1,0.838567900005728,3,2,3,141,39
28329,1,0.587389899883419,3,3,3,142,39
28329,1,0.657975299982354,1,1,1,143,39
28329,1,0.581994199892506,3,3,3,144,39
28329,1,0.564489400014281,3,2,3,145,39
28329,1,0.396106299944222,1,1,1,146,39
28329,1,0.498031100025401,3,2,3,147,39
28329,1,0.292675300035626,3,2,3,148,39
28329,1,0.791330999927595,3,3,3,149,39
28329,1,0.470079200109467,1,1,1,150,39
28329,1,0.537387100048363,3,3,3,151,39
28329,1,0.513607200002298,1,1,1,152,39
28329,1,0.427219199948013,3,2,3,153,39
28329,1,0.43278959998861,3,2,3,154,39
28329,1,0.365136599866673,1,1,1,155,39
28329,1,0.500664599938318,3,3,3,156,39
28329,0,0.565424999920651,1,1,2,157,39
28329,0,0.764616300119087,1,2,2,158,39
28329,1,0.340045200195163,1,3,1,159,39
28329,1,0.588830000022426,1,3,1,160,39
28329,1,0.555343299871311,2,1,2,161,39
28329,1,0.715176499914378,1,3,1,162,39
28329,0,0.460866699926555,3,2,2,163,39
28329,1,1.38488519983366,2,1,2,164,39
28329,1,0.58309690002352,2,2,2,165,39
28329,1,0.429904199903831,2,1,2,166,39
28329,1,0.402502000099048,2,2,2,167,39
28329,1,0.360472900094464,1,3,1,168,39
28329,1,0.608656400116161,2,1,2,169,39
28329,1,0.59072730015032,1,3,1,170,39
28329,1,0.501441099913791,2,2,2,171,39
28329,1,0.39942970010452,2,2,2,172,39
28329,1,0.39732849993743,2,1,2,173,39
28329,1,0.347035000100732,2,1,2,174,39
28329,1,0.39531119982712,1,3,1,175,39
28329,1,0.329951100051403,2,2,2,176,39
28329,1,0.659426999976858,1,3,1,177,39
28329,1,0.487381699960679,1,3,1,178,39
28329,1,0.442044500028715,2,1,2,179,39
28329,1,0.262686400208622,2,2,2,180,39
28329,1,0.674359000055119,1,3,1,181,39
28329,1,0.565937200095505,2,1,2,182,39
28329,1,0.549347700085491,1,3,1,183,39
28329,1,0.349296800093725,2,2,2,184,39
28329,1,0.413454199908301,2,1,2,185,39
28329,1,0.346729899989441,2,2,2,186,39
28329,1,0.394616599893197,2,2,2,187,39
28329,0,0.401008800137788,2,3,1,188,39
28329,1,0.615439800079912,2,1,2,189,39
28329,1,0.508796599926427,1,3,1,190,39
28329,1,0.526538599980995,2,1,2,191,39
28329,1,0.551602199906483,2,2,2,192,39
28329,1,0.463949300115928,2,2,2,193,39
28329,0,0.467306000180542,1,1,2,194,39
28329,1,0.494526899885386,1,3,1,195,39
28329,0,0.744344499893486,1,1,2,196,78
28329,0,0.609259800054133,1,2,2,197,78
28329,0,0.415071700001135,1,3,3,198,78
28329,0,0.668433699989691,1,4,3,199,78
28329,1,0.392084300052375,1,5,1,200,78
28329,1,0.630561900092289,1,6,1,201,78
28329,1,0.715394900180399,2,1,2,202,78
28329,1,0.956665700068697,1,5,1,203,78
28329,1,1.1483737998642,2,2,2,204,78
28329,1,0.73254320002161,1,6,1,205,78
28329,1,0.693411799846217,3,3,3,206,78
28329,1,0.951933000003919,3,3,3,207,78
28329,-1,-1,-1,4,3,208,78
28329,1,1.04167070006952,2,2,2,209,78
28329,1,0.814690900035203,3,4,3,210,78
28329,1,0.691968699917197,1,6,1,211,78
28329,1,0.718805899843574,2,1,2,212,78
28329,1,0.624079200206324,1,5,1,213,78
28329,1,0.589050799841061,2,1,2,214,78
28329,1,0.739766700193286,2,2,2,215,78
28329,1,0.516318700043485,3,3,3,216,78
28329,1,0.477997299982235,3,4,3,217,78
28329,1,0.777272399980575,1,5,1,218,78
28329,1,0.528411900158972,1,6,1,219,78
28329,1,0.657991099869832,3,4,3,220,78
28329,1,0.781971299787983,3,3,3,221,78
28329,1,0.748756299959496,3,4,3,222,78
28329,1,0.708506700117141,2,1,2,223,78
28329,1,0.534679099917412,1,5,1,224,78
28329,1,0.663297699997202,1,5,1,225,78
28329,1,0.546681100036949,2,2,2,226,78
28329,1,0.602482500020415,1,6,1,227,78
28329,1,0.656493000220507,3,3,3,228,78
28329,1,0.596333600115031,1,5,1,229,78
28329,1,0.682628899812698,2,2,2,230,78
28329,1,0.693016899982467,2,1,2,231,78
28329,1,0.503986000083387,1,6,1,232,78
28329,1,0.40224750014022,3,4,3,233,78
28329,1,0.54407720011659,3,3,3,234,78
28329,1,0.584493100177497,1,6,1,235,78
28329,1,0.46326500014402,2,2,2,236,78
28329,1,0.466439899988472,1,6,1,237,78
28329,1,0.342040100134909,2,1,2,238,78
