Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
89.000000	4063.589744	4498.974359	4208.205128	4460.000000	4124.102564	4542.564103	4208.205128	4838.974359	4243.589744	4471.794872	4228.717949	4346.666667	4461.538462	4468.205128	1611.000000	2103.000000	33.898000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
90.000000	4067.692308	4501.025641	4208.717949	4459.487179	4121.538462	4543.076923	4203.589744	4842.564103	4240.512821	4471.282051	4230.769231	4349.230769	4463.076923	4467.692308	1611.000000	2103.000000	33.906000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
91.000000	4066.153846	4502.051282	4207.179487	4461.025641	4122.051282	4544.615385	4203.076923	4842.051282	4240.512821	4468.717949	4231.282051	4351.282051	4463.589744	4469.743590	1607.000000	2107.000000	33.914000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
92.000000	4062.051282	4498.461538	4208.205128	4460.512821	4121.538462	4542.051282	4201.538462	4840.000000	4244.615385	4471.282051	4229.230769	4349.743590	4464.102564	4469.230769	1611.000000	2103.000000	33.922000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
93.000000	4062.051282	4499.487179	4211.282051	4460.512821	4121.025641	4543.589744	4202.051282	4841.538462	4244.615385	4473.846154	4228.717949	4350.256410	4463.076923	4466.666667	1607.000000	2103.000000	33.930000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
94.000000	4065.641026	4503.076923	4209.743590	4460.512821	4120.512821	4542.564103	4203.589744	4842.051282	4243.076923	4470.769231	4230.769231	4352.820513	4465.641026	4469.230769	1611.000000	2107.000000	33.937000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
95.000000	4065.128205	4501.025641	4206.666667	4461.025641	4123.589744	4542.564103	4206.666667	4838.461538	4244.102564	4469.230769	4230.256410	4349.743590	4464.615385	4468.205128	1611.000000	2103.000000	33.945000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
96.000000	4064.615385	4497.435897	4207.179487	4461.538462	4125.128205	4542.564103	4204.102564	4839.487179	4244.615385	4470.256410	4230.769231	4348.205128	4463.589744	4465.128205	1611.000000	2103.000000	33.953000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
97.000000	4063.589744	4500.000000	4207.179487	4461.025641	4123.076923	4542.051282	4200.512821	4841.025641	4243.589744	4470.769231	4231.794872	4351.794872	4466.666667	4468.205128	1607.000000	2103.000000	33.961000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
98.000000	4062.051282	4503.076923	4207.692308	4461.538462	4123.589744	4543.076923	4202.564103	4838.461538	4243.589744	4470.769231	4229.230769	4351.794872	4463.589744	4471.282051	1611.000000	2107.000000	33.969000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
